James Joyce,AE (George William Russell),William Archer,Samuel Beckett,Bryher (Annie Winifred Ellerman),Ford Madox Ford,Oliver St. John Gogarty,Wyndham Lewis,George Moore,Flann O'Brien,James Stephens,Arthur Symons,John Millington Synge,William Butler Yeats,,,,,,,,,,,
Frank O'Connor,AE (George William Russell),William Butler Yeats,,,,,,,,,,,,,,,,,,,,,,
L. P. Hartley,Aldous Huxley,Virginia Woolf,,,,,,,,,,,,,,,,,,,,,,
Arthur Henry Hallam,Alfred Tennyson  (1st Baron Tennyson),Edward FitzGerald,Baron Thomas Babington Macaulay,Harriet Martineau,,,,,,,,,,,,,,,,,,,,
Coventry Kersey Dighton Patmore,Alfred Tennyson  (1st Baron Tennyson),Elizabeth Barrett Browning,Robert Browning,Thomas Carlyle,Sir Edmund Gosse,William Hazlitt,Gerard Manley Hopkins,Charles Lamb,Alice Meynell,Francis Thompson,,,,,,,,,,,,,,
John Addington Symonds,Alfred Tennyson  (1st Baron Tennyson),Francis Turner Palgrave,,,,,,,,,,,,,,,,,,,,,,
Theodore Watts-Dunton,Alfred Tennyson  (1st Baron Tennyson),George Borrow,Dante Gabriel Rossetti,Algernon Charles Swinburne,,,,,,,,,,,,,,,,,,,,
Edward Lear,Alfred Tennyson  (1st Baron Tennyson),Lewis Carroll,,,,,,,,,,,,,,,,,,,,,,
George Macdonald,Alfred Tennyson  (1st Baron Tennyson),Lewis Carroll,Charles Dickens,Jean Ingelow,William Makepeace Thackeray,,,,,,,,,,,,,,,,,,,
Charlotte M. Yonge,Alfred Tennyson  (1st Baron Tennyson),Lewis Carroll,John Keble,,,,,,,,,,,,,,,,,,,,,
Francis Turner Palgrave,Alfred Tennyson  (1st Baron Tennyson),Matthew Arnold,Arthur Hugh Clough,John Addington Symonds,,,,,,,,,,,,,,,,,,,,
Robert Browning,Alfred Tennyson  (1st Baron Tennyson),Matthew Arnold,Elizabeth Barrett Browning,Robert Williams Buchanan,Thomas Carlyle,Walter de la Mare,Thomas Hood,Leigh Hunt,Jean Ingelow,Fanny Kemble,Harriet Martineau,Alice Meynell,Mary Russell Mitford,Coventry Kersey Dighton Patmore,Dante Gabriel Rossetti,Mark Rutherford,,,,,,,,
Lewis Carroll,Alfred Tennyson  (1st Baron Tennyson),Matthew Arnold,Henry Kingsley,Edward Lear,George Macdonald,Christina Rossetti,Dante Gabriel Rossetti,Algernon Charles Swinburne,Charlotte M. Yonge,,,,,,,,,,,,,,,
Alice Meynell,Alfred Tennyson  (1st Baron Tennyson),Robert Browning,Charles Dickens,George Eliot,William Ernest Henley,George Meredith,Charlotte Mew,Coventry Kersey Dighton Patmore,Dante Gabriel Rossetti,Francis Thompson,Oscar Wilde,Virginia Woolf,,,,,,,,,,,,
Jean Ingelow,Alfred Tennyson  (1st Baron Tennyson),Robert Browning,George Macdonald,Christina Rossetti,,,,,,,,,,,,,,,,,,,,
Thomas Carlyle,Alfred Tennyson  (1st Baron Tennyson),Robert Browning,Samuel Taylor Coleridge,Sara Coleridge,Thomas De Quincey,Charles Dickens,Edward FitzGerald,Leigh Hunt,Charles Lamb,George Henry Lewes,Harriet Martineau,Thomas Moore,Coventry Kersey Dighton Patmore,Mark Rutherford,Robert Southey,William Makepeace Thackeray,William Wordsworth,,,,,,,
Hartley Coleridge,Alfred Tennyson  (1st Baron Tennyson),Samuel Taylor Coleridge,Sara Coleridge,Charles Lamb,Sir Walter Scott (1st Baronet),Robert Southey,William Wordsworth,,,,,,,,,,,,,,,,,
William Morris,Alfred Tennyson  (1st Baron Tennyson),Sir Hall Caine,Edward Carpenter,Dante Gabriel Rossetti,Mark Rutherford,Algernon Charles Swinburne,,,,,,,,,,,,,,,,,,
Edward FitzGerald,Alfred Tennyson  (1st Baron Tennyson),Thomas Carlyle,Sir Edmund Gosse,Arthur Henry Hallam,Thomas Hardy,Fanny Kemble,William Makepeace Thackeray,,,,,,,,,,,,,,,,,
William Barnes,Alfred Tennyson  (1st Baron Tennyson),Thomas Hardy,Gerard Manley Hopkins,,,,,,,,,,,,,,,,,,,,,
Sir Walter Besant,Alfred Tennyson  (1st Baron Tennyson),Wilkie Collins,,,,,,,,,,,,,,,,,,,,,,
Francis Thompson,Alice Meynell,Coventry Kersey Dighton Patmore,,,,,,,,,,,,,,,,,,,,,,
Joanna Baillie,Anna Laetitia Barbauld,George Gordon Byron (6th Baron Byron),Thomas Campbell,Maria Edgeworth,Felicia Dorothea Hemans,Henry Mackenzie,Sir Walter Scott (1st Baronet),William Wordsworth,,,,,,,,,,,,,,,,
Ann Radcliffe,Anna Laetitia Barbauld,Hester Lynch Piozzi,,,,,,,,,,,,,,,,,,,,,,
Amelia Opie,Anna Laetitia Barbauld,Maria Edgeworth,William Hayley,Thomas Holcroft,Sir Walter Scott (1st Baronet),Helen Maria Williams,Mary Wollstonecraft,,,,,,,,,,,,,,,,,
Samuel Taylor Coleridge,Anna Laetitia Barbauld,Thomas Lovell Beddoes,George Gordon Byron (6th Baron Byron),Thomas Carlyle,Hartley Coleridge,Sara Coleridge,Thomas De Quincey,William Hazlitt,Thomas Hood,Charles Lamb,Mary Russell Mitford,Robert Southey,William Wordsworth,,,,,,,,,,,
Charlotte Brontë,Anne Brontë,Emily Brontë,Elizabeth Cleghorn Gaskell,George Henry Lewes,Harriet Martineau,Robert Southey,William Makepeace Thackeray,,,,,,,,,,,,,,,,,
John Buchan (1st Baron Tweedsmuir),Arnold Bennett,Elizabeth Bowen,Mary Gladys Webb,,,,,,,,,,,,,,,,,,,,,
Sir Max Beerbohm,Arnold Bennett,G. K. Chesterton,Sir Edmund Gosse,Siegfried Sassoon,Oscar Wilde,,,,,,,,,,,,,,,,,,,
Sir Hugh Seymour Walpole,Arnold Bennett,Joseph Conrad,C. S. Forester,J. B. Priestley,Dorothy M. Richardson,Saki (Hector Hugh Munro),,,,,,,,,,,,,,,,,,
Aldous Huxley,Arnold Bennett,William Henry Davies,T. S. Eliot,Robert Graves,L. P. Hartley,Katherine Mansfield,Dame Edith Sitwell,Sir Osbert Sitwell (5th Baronet),Mrs. Humphry Ward,Virginia Woolf,,,,,,,,,,,,,,
Edward Martyn,Augusta (Lady Gregory),George Moore,William Butler Yeats,,,,,,,,,,,,,,,,,,,,,
John Millington Synge,Augusta (Lady Gregory),James Joyce,John Masefield,James Stephens,William Butler Yeats,,,,,,,,,,,,,,,,,,,
Sean O'Faolain,Brendan Behan,Elizabeth Bowen,,,,,,,,,,,,,,,,,,,,,,
Dorothy M. Richardson,Bryher (Annie Winifred Ellerman),Ford Madox Ford,Sir Hugh Seymour Walpole,H. G. Wells,Dame Rebecca West,Virginia Woolf,,,,,,,,,,,,,,,,,,
Laurie Lee,C. Day-Lewis,John Lehmann,,,,,,,,,,,,,,,,,,,,,,
Edmund Charles Blunden,C. Day-Lewis,Walter de la Mare,Keith Castellain Douglas,T. S. Eliot,Siegfried Sassoon,,,,,,,,,,,,,,,,,,,
J. R. R. Tolkien,C. S. Lewis,John Barrington Wain,,,,,,,,,,,,,,,,,,,,,,
William Harrison Ainsworth,Charles Dickens,Leigh Hunt,Charles Lamb,,,,,,,,,,,,,,,,,,,,,
Thomas Love Peacock,Charles Dickens,Leigh Hunt,John Keats,George Meredith,Percy Bysshe Shelley,,,,,,,,,,,,,,,,,,,
Douglas William Jerrold,Charles Dickens,William Makepeace Thackeray,,,,,,,,,,,,,,,,,,,,,,
Thomas Hughes,Charles Kingsley,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth Cleghorn Gaskell,Charlotte Brontë,Charles Dickens,,,,,,,,,,,,,,,,,,,,,,
Harriet Martineau,Charlotte Brontë,Elizabeth Barrett Browning,Robert Browning,Thomas Carlyle,Charles Dickens,Arthur Henry Hallam,Edward George Earle Bulwer-Lytton (1st Baron Lytton of Knebworth),William Makepeace Thackeray,William Wordsworth,,,,,,,,,,,,,,,
Anne Brontë,Charlotte Brontë,Emily Brontë,,,,,,,,,,,,,,,,,,,,,,
George Henry Lewes,Charlotte Brontë,Thomas Carlyle,Wilkie Collins,Charles Dickens,George Eliot,Leigh Hunt,William Makepeace Thackeray,,,,,,,,,,,,,,,,,
David Garrick,Christopher Anstey,James Beattie,Fanny (Frances) Burney,John Cleland,George Colman the Elder,George Colman the Younger,Richard Cumberland,Oliver Goldsmith,Samuel Johnson,Hugh Kelly,Charlotte Lennox,Hester Lynch Piozzi,Richard Brinsley Butler Sheridan,Tobias Smollett,Laurence Sterne,William Whitehead,,,,,,,,
Anna Seward,Christopher Anstey,William Hayley,Samuel Johnson,Sir Walter Scott (1st Baronet),Helen Maria Williams,,,,,,,,,,,,,,,,,,,
William Whitehead,David Garrick,,,,,,,,,,,,,,,,,,,,,,,
Christopher Anstey,David Garrick,Anna Seward,,,,,,,,,,,,,,,,,,,,,,
Hugh Kelly,David Garrick,Oliver Goldsmith,,,,,,,,,,,,,,,,,,,,,,
Oliver Goldsmith,David Garrick,Samuel Johnson,Hugh Kelly,Charlotte Lennox,Hester Lynch Piozzi,Tobias Smollett,,,,,,,,,,,,,,,,,,
Vernon Phillips Watkins,David Jones,Philip Larkin,Dylan Thomas,William Butler Yeats,,,,,,,,,,,,,,,,,,,,
Walter de la Mare,Edmund Charles Blunden,Robert Browning,William Henry Davies,T. S. Eliot,Sir Henry John Newbolt,Forrest Reid,Siegfried Sassoon,Edward Thomas,,,,,,,,,,,,,,,,
Keith Castellain Douglas,Edmund Charles Blunden,T. S. Eliot,,,,,,,,,,,,,,,,,,,,,,
Laurence Binyon,Edward Dowden,Lionel Johnson,Wyndham Lewis,John Masefield,Walter Pater,Siegfried Sassoon,William Butler Yeats,,,,,,,,,,,,,,,,,
Charles Reade,Edward George Earle Bulwer-Lytton (1st Baron Lytton of Knebworth),Anthony Trollope,,,,,,,,,,,,,,,,,,,,,,
Arthur O'Shaughnessy,Edward Robert Bulwer-Lytton (1st Earl of Lytton),Dante Gabriel Rossetti,Algernon Charles Swinburne,,,,,,,,,,,,,,,,,,,,,
Mary Elizabeth Braddon,Edward Robert Bulwer-Lytton (1st Earl of Lytton),Oscar Wilde,,,,,,,,,,,,,,,,,,,,,,
Arthur Michell Ransome,Edward Thomas,,,,,,,,,,,,,,,,,,,,,,,
Mary Russell Mitford,Elizabeth Barrett Browning,Robert Browning,Samuel Taylor Coleridge,George Darley,Thomas De Quincey,Charles Lamb,,,,,,,,,,,,,,,,,,
Sara Coleridge,Elizabeth Barrett Browning,Thomas Carlyle,Hartley Coleridge,Samuel Taylor Coleridge,Thomas De Quincey,Baron Thomas Babington Macaulay,Robert Southey,William Wordsworth,,,,,,,,,,,,,,,,
Elizabeth Taylor,Elizabeth Bowen,Rosamond Nina Lehmann,,,,,,,,,,,,,,,,,,,,,,
Virginia Woolf,Elizabeth Bowen,Rupert Brooke,Frances Cornford,E. M. Forster,Robert Graves,L. P. Hartley,Aldous Huxley,John Lehmann,Rosamond Nina Lehmann,Dame Rose Macaulay,Katherine Mansfield,Alice Meynell,Dorothy M. Richardson,Vita Sackville-West,Dame Edith Sitwell,Sir Osbert Sitwell (5th Baronet),,,,,,,,
Matthew Arnold,Emily Brontë,Robert Browning,Lewis Carroll,Arthur Hugh Clough,Dame Rose Macaulay,Francis Turner Palgrave,Mrs. Humphry Ward,William Wordsworth,,,,,,,,,,,,,,,,
Sir Noël Coward,Eric Ambler,Sir John Betjeman,Roald Dahl,Ian Fleming,Sir Terence Rattigan,Dame Rebecca West,,,,,,,,,,,,,,,,,,
Arthur Young,Fanny (Frances) Burney,,,,,,,,,,,,,,,,,,,,,,,
George Colman the Elder,Fanny (Frances) Burney,Charles Churchill,George Colman the Younger,William Cowper,David Garrick,,,,,,,,,,,,,,,,,,,
Helen Maria Williams,Fanny (Frances) Burney,William Hayley,Samuel Johnson,Amelia Opie,Anna Seward,Charlotte Smith,Mary Wollstonecraft,,,,,,,,,,,,,,,,,
Joseph Conrad,Ford Madox Ford,John Galsworthy,W. H. Hudson,Sir Henry John Newbolt,Arthur Symons,Sir Hugh Seymour Walpole,H. G. Wells,,,,,,,,,,,,,,,,,
A. E. Housman,G. K. Chesterton,,,,,,,,,,,,,,,,,,,,,,,
E. C. Bentley,G. K. Chesterton,,,,,,,,,,,,,,,,,,,,,,,
Dame Agatha Christie,G. K. Chesterton,,,,,,,,,,,,,,,,,,,,,,,
Edwin Muir,George Barker,George Mackay Brown,William Soutar,Dylan Thomas,,,,,,,,,,,,,,,,,,,,
Sir Arthur Wing Pinero,George Bernard Shaw,,,,,,,,,,,,,,,,,,,,,,,
R. C. Sherriff,George Bernard Shaw,,,,,,,,,,,,,,,,,,,,,,,
Jack Thomas Grein,George Bernard Shaw,,,,,,,,,,,,,,,,,,,,,,,
John Davidson,George Bernard Shaw,Algernon Charles Swinburne,William Butler Yeats,,,,,,,,,,,,,,,,,,,,,
Charles Churchill,George Colman the Elder,,,,,,,,,,,,,,,,,,,,,,,
George Colman the Younger,George Colman the Elder,David Garrick,Samuel Johnson,,,,,,,,,,,,,,,,,,,,,
Fanny (Frances) Burney,George Colman the Elder,David Garrick,Samuel Johnson,Hester Lynch Piozzi,Helen Maria Williams,,,,,,,,,,,,,,,,,,,
William Cowper,George Colman the Elder,William Hayley,,,,,,,,,,,,,,,,,,,,,,
Allan Cunningham,George Darley,Thomas Hood,Charles Lamb,,,,,,,,,,,,,,,,,,,,,
Anthony Trollope,George Eliot,Charles Reade,William Makepeace Thackeray,,,,,,,,,,,,,,,,,,,,,
Marguerite Gardiner (Countess of Blessington),George Gordon Byron (6th Baron Byron),Charles Dickens,Edward George Earle Bulwer-Lytton (1st Baron Lytton of Knebworth),William Makepeace Thackeray,,,,,,,,,,,,,,,,,,,,
William Gifford,George Gordon Byron (6th Baron Byron),Charles Lamb,,,,,,,,,,,,,,,,,,,,,,
Charles Robert Maturin,George Gordon Byron (6th Baron Byron),Charles Lamb,Sir Walter Scott (1st Baronet),,,,,,,,,,,,,,,,,,,,,
Letitia Elizabeth Landon,George Gordon Byron (6th Baron Byron),Edward George Earle Bulwer-Lytton (1st Baron Lytton of Knebworth),,,,,,,,,,,,,,,,,,,,,,
Percy Bysshe Shelley,George Gordon Byron (6th Baron Byron),Felicia Dorothea Hemans,Leigh Hunt,John Keats,Matthew Gregory Lewis,Thomas Love Peacock,Robert Southey,Mary Wollstonecraft,,,,,,,,,,,,,,,,
John Galt,George Gordon Byron (6th Baron Byron),James Hogg,Sir Walter Scott (1st Baronet),,,,,,,,,,,,,,,,,,,,,
James Hogg,George Gordon Byron (6th Baron Byron),John Galt,Felicia Dorothea Hemans,Sir Walter Scott (1st Baronet),William Wordsworth,,,,,,,,,,,,,,,,,,,
Matthew Gregory Lewis,George Gordon Byron (6th Baron Byron),Susan Edmonstone Ferrier,Sir Walter Scott (1st Baronet),Percy Bysshe Shelley,Robert Southey,,,,,,,,,,,,,,,,,,,
William Lisle Bowles,George Gordon Byron (6th Baron Byron),Thomas Campbell,Joseph Warton,,,,,,,,,,,,,,,,,,,,,
Thomas Moore,George Gordon Byron (6th Baron Byron),Thomas Carlyle,George Crabbe,Leigh Hunt,Baron Thomas Babington Macaulay,Richard Brinsley Butler Sheridan,,,,,,,,,,,,,,,,,,
Norman MacCaig,George Mackay Brown,,,,,,,,,,,,,,,,,,,,,,,
Marie Corelli,George Meredith,Oscar Wilde,,,,,,,,,,,,,,,,,,,,,,
Arthur Koestler,George Orwell,,,,,,,,,,,,,,,,,,,,,,,
Robert Bridges,Gerard Manley Hopkins,John Masefield,Sir Henry John Newbolt,,,,,,,,,,,,,,,,,,,,,
Mervyn Peake,Graham Greene,Dylan Thomas,,,,,,,,,,,,,,,,,,,,,,
Sarah Fielding,Henry Fielding,Charlotte Lennox,,,,,,,,,,,,,,,,,,,,,,
Charlotte Lennox,Henry Fielding,Sarah Fielding,David Garrick,Oliver Goldsmith,Samuel Johnson,,,,,,,,,,,,,,,,,,,
Sir Edwin Arnold,Henry Kingsley,,,,,,,,,,,,,,,,,,,,,,,
H. G. Wells,Hilaire Belloc,Arnold Bennett,Rupert Brooke,Sir Arthur Conan Doyle,Joseph Conrad,Ford Madox Ford,George Gissing,William Ernest Henley,Wyndham Lewis,A. A. Milne,Sir Henry John Newbolt,Dorothy M. Richardson,Siegfried Sassoon,George Bernard Shaw,Dame Rebecca West,,,,,,,,,
Edward Thomas,Hilaire Belloc,Rupert Brooke,William Henry Davies,Walter de la Mare,Sir Henry John Newbolt,Arthur Michell Ransome,,,,,,,,,,,,,,,,,,
Lewis Grassic Gibbon,Hugh MacDiarmid,,,,,,,,,,,,,,,,,,,,,,,
William Soutar,Hugh MacDiarmid,Edwin Muir,,,,,,,,,,,,,,,,,,,,,,
Nancy Mitford,Ian Fleming,,,,,,,,,,,,,,,,,,,,,,,
W. Somerset Maugham,Ian Fleming,,,,,,,,,,,,,,,,,,,,,,,
Vita Sackville-West,Ian Fleming,Virginia Woolf,,,,,,,,,,,,,,,,,,,,,,
Angela Margaret Thirkell,J. M. Barrie,,,,,,,,,,,,,,,,,,,,,,,
Sir Arthur Conan Doyle,J. M. Barrie,Rudyard Kipling,Andrew Lang,A. A. Milne,H. G. Wells,Sir P. G. Wodehouse,,,,,,,,,,,,,,,,,,
A. A. Milne,J. M. Barrie,Sir Arthur Conan Doyle,H. G. Wells,Sir P. G. Wodehouse,,,,,,,,,,,,,,,,,,,,
Hester Lynch Piozzi,James Beattie,Fanny (Frances) Burney,David Garrick,Oliver Goldsmith,Samuel Johnson,Ann Radcliffe,,,,,,,,,,,,,,,,,,
Samuel Johnson,James Beattie,Fanny (Frances) Burney,William Collins,George Colman the Younger,George Crabbe,David Garrick,Oliver Goldsmith,Charlotte Lennox,Hester Lynch Piozzi,Anna Seward,Richard Brinsley Butler Sheridan,Tobias Smollett,Joseph Warton,Thomas Warton the Younger,Helen Maria Williams,,,,,,,,,
Thomas Gray,James Beattie,Horace Walpole (4th earl of Orford),Thomas Warton the Younger,,,,,,,,,,,,,,,,,,,,,
John Keats,James Beattie,John Clare,William Hazlitt,Leigh Hunt,Charles Lamb,Thomas Love Peacock,Percy Bysshe Shelley,,,,,,,,,,,,,,,,,
Mark Akenside,James Beattie,Tobias Smollett,,,,,,,,,,,,,,,,,,,,,,
James Thomson,James Beattie,William Collins,,,,,,,,,,,,,,,,,,,,,,
Flann O'Brien,James Joyce,,,,,,,,,,,,,,,,,,,,,,,
Sir Walter Scott (1st Baronet),Jane Austen,Joanna Baillie,Anna Laetitia Barbauld,Lady Anne Barnard,George Gordon Byron (6th Baron Byron),Thomas Campbell,Hartley Coleridge,George Crabbe,John Wilson Croker,Maria Edgeworth,Susan Edmonstone Ferrier,John Galt,William Hayley,Felicia Dorothea Hemans,James Hogg,Thomas Hood,Matthew Gregory Lewis,Henry Mackenzie,Charles Robert Maturin,Amelia Opie,Thomas Pringle,Anna Seward,Robert Southey,William Wordsworth
Maria Edgeworth,Joanna Baillie,Anna Laetitia Barbauld,Thomas Lovell Beddoes,Amelia Opie,Sir Walter Scott (1st Baronet),,,,,,,,,,,,,,,,,,,
